GeneID,0,1,2
4512,19.109536554957803,19.796926182286416,21.190361476516436
4550,18.989876771609993,18.959285734104533,20.412315913837368
4538,18.74539715315029,19.69451175561707,20.95739800283026
4514,18.29580290920825,19.42703915654862,20.64731501827823
1915,18.204377614038833,19.410979693747073,
4513,18.127219228070324,18.8100713104828,20.32553889704504
4508,18.07052846108154,18.94336125933152,20.02761510232049
4535,17.907391070803843,18.926924028934394,19.87300621628241
4519,17.85989619518795,19.084537349988555,20.044079560693667
4536,17.84615907089096,18.855202978209803,20.006963316364644
4540,,,19.529129618183454
